,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21332,33,42230,RENT,1.0,MEDICAL,A,5500,9.63,0,0.13,N,10
11948,23,78000,MORTGAGE,4.0,PERSONAL,A,15000,8.49,0,0.19,N,2
24149,29,70000,MORTGAGE,0.0,EDUCATION,A,8000,,0,0.11,N,9
28403,33,21600,RENT,3.0,PERSONAL,B,10000,12.53,1,0.46,N,7
27938,27,30000,RENT,8.0,PERSONAL,B,11000,9.91,1,0.37,N,6
24240,28,30000,RENT,6.0,VENTURE,C,4200,15.23,0,0.14,Y,7
31333,36,95000,RENT,2.0,PERSONAL,B,12000,10.99,0,0.13,N,11
31992,37,75000,RENT,3.0,HOMEIMPROVEMENT,C,10000,,0,0.13,Y,17
20260,31,39996,OWN,8.0,HOMEIMPROVEMENT,C,4000,14.35,0,0.1,Y,9
22250,33,54000,MORTGAGE,8.0,MEDICAL,A,3800,8.9,0,0.07,N,7
5187,23,80400,RENT,4.0,PERSONAL,A,9000,7.51,0,0.11,N,2
6159,24,42000,MORTGAGE,,PERSONAL,E,18250,16.82,1,0.43,Y,4
10537,23,68400,MORTGAGE,,VENTURE,B,1800,8.88,0,0.03,N,4
16114,24,39996,OWN,0.0,PERSONAL,A,3000,7.37,0,0.08,N,2
25738,27,52000,RENT,3.0,PERSONAL,B,12250,11.36,0,0.24,N,5
12395,25,80208,MORTGAGE,1.0,HOMEIMPROVEMENT,A,4000,5.42,0,0.05,N,4
28198,31,78996,RENT,5.0,HOMEIMPROVEMENT,A,6000,7.51,1,0.08,N,8
22718,30,57408,MORTGAGE,0.0,DEBTCONSOLIDATION,B,18000,8.88,0,0.31,N,10
9122,25,32000,RENT,4.0,VENTURE,A,5100,8.38,0,0.16,N,3
18466,30,106000,RENT,9.0,DEBTCONSOLIDATION,C,20000,13.22,0,0.19,Y,5
2521,22,19200,RENT,0.0,HOMEIMPROVEMENT,E,3000,,1,0.16,Y,3
19789,31,36000,MORTGAGE,5.0,VENTURE,A,6000,6.99,0,0.17,N,9
9598,25,63000,MORTGAGE,9.0,PERSONAL,B,14000,12.42,0,0.22,N,2
3856,25,35000,RENT,4.0,EDUCATION,A,4000,7.51,0,0.11,N,3
22956,27,36000,RENT,0.0,DEBTCONSOLIDATION,C,8000,13.92,0,0.22,Y,9
12091,21,34500,RENT,2.0,HOMEIMPROVEMENT,D,11500,15.31,1,0.33,N,2
2399,25,32000,MORTGAGE,7.0,PERSONAL,B,3250,10.74,1,0.1,N,2
14957,25,44000,RENT,1.0,EDUCATION,D,15000,14.59,1,0.34,N,4
6043,22,45900,RENT,3.0,EDUCATION,A,5750,8.94,0,0.13,N,3
31940,38,37500,RENT,0.0,EDUCATION,A,1375,6.91,0,0.04,N,15
31581,41,109920,MORTGAGE,18.0,DEBTCONSOLIDATION,C,20000,13.35,0,0.18,Y,17
18341,33,53004,RENT,0.0,PERSONAL,C,20000,13.04,1,0.38,N,10
27068,29,63500,RENT,4.0,DEBTCONSOLIDATION,B,1600,11.83,0,0.03,N,5
18623,29,153000,RENT,1.0,VENTURE,B,17600,8.7,0,0.12,N,8
10607,23,69000,MORTGAGE,0.0,EDUCATION,B,8000,10.95,0,0.12,N,2
2878,21,35000,OWN,5.0,VENTURE,B,8000,9.91,0,0.23,N,3
20880,28,44000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,7000,13.06,0,0.16,N,9
17312,23,113000,MORTGAGE,4.0,EDUCATION,A,12000,7.66,0,0.11,N,3
25378,34,62000,RENT,5.0,VENTURE,B,12000,10.99,0,0.19,N,6
25996,32,95000,MORTGAGE,16.0,PERSONAL,B,20000,10.65,0,0.21,N,5
22582,30,115000,RENT,7.0,DEBTCONSOLIDATION,B,7300,10.25,0,0.06,N,9
32041,38,81000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,10000,14.27,0,0.12,N,11
26840,28,115000,MORTGAGE,2.0,PERSONAL,B,18000,10.59,0,0.16,N,10
30388,42,21120,RENT,12.0,VENTURE,B,6400,11.14,0,0.3,N,14
25145,28,80000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,12000,12.18,0,0.15,N,5
25445,28,72000,RENT,3.0,MEDICAL,C,12000,14.27,0,0.17,Y,6
16560,26,74000,MORTGAGE,10.0,EDUCATION,B,4475,9.99,0,0.06,N,2
13366,23,90000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,1500,12.84,0,0.02,N,2
28853,27,150000,OWN,0.0,EDUCATION,A,10000,8.59,0,0.07,N,9
21460,29,48000,MORTGAGE,13.0,MEDICAL,A,4975,5.79,0,0.1,N,7
7999,23,55000,MORTGAGE,6.0,EDUCATION,B,8000,9.88,0,0.15,N,3
19512,35,52500,RENT,3.0,HOMEIMPROVEMENT,B,12000,10.36,0,0.23,N,8
14944,25,120000,MORTGAGE,9.0,PERSONAL,C,21000,13.49,0,0.17,N,4
5928,22,47500,MORTGAGE,6.0,VENTURE,A,6000,7.9,0,0.13,N,3
19819,27,36000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5500,10.36,0,0.15,N,5
32013,41,95000,OWN,2.0,MEDICAL,C,21600,13.92,0,0.23,Y,12
8093,21,55200,MORTGAGE,5.0,VENTURE,A,8900,6.17,0,0.16,N,2
21796,30,61400,RENT,4.0,VENTURE,C,6000,15.96,0,0.1,N,9
16423,22,38400,OWN,5.0,EDUCATION,C,10000,13.99,0,0.26,N,4
1519,24,27442,MORTGAGE,8.0,DEBTCONSOLIDATION,B,5175,10.99,0,0.19,N,4
2045,25,30000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,9000,7.51,0,0.3,N,4
7766,22,35350,RENT,3.0,DEBTCONSOLIDATION,B,7000,9.99,0,0.2,N,3
30194,38,32000,RENT,0.0,DEBTCONSOLIDATION,B,6000,11.36,1,0.19,N,16
3903,21,40000,RENT,3.0,EDUCATION,A,4000,7.51,0,0.1,N,2
26931,29,120000,MORTGAGE,11.0,VENTURE,B,16000,12.42,0,0.13,N,9
26949,31,120000,MORTGAGE,0.0,VENTURE,A,12000,6.03,0,0.1,N,6
8751,22,60000,OWN,0.0,VENTURE,A,13250,7.9,0,0.22,N,3
4867,23,42000,MORTGAGE,3.0,EDUCATION,C,5400,11.78,0,0.13,N,4
17413,23,29004,OWN,1.0,VENTURE,C,2000,13.16,0,0.07,N,3
11816,23,76000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,20000,,0,0.26,N,4
6297,21,33280,RENT,0.0,VENTURE,C,6000,13.23,0,0.18,Y,2
22904,28,60000,MORTGAGE,12.0,MEDICAL,C,14400,13.49,0,0.24,N,7
21108,30,60000,RENT,1.0,DEBTCONSOLIDATION,B,5000,,0,0.08,N,7
8260,25,56655,MORTGAGE,9.0,VENTURE,C,20000,13.61,0,0.35,N,2
8164,24,56000,MORTGAGE,5.0,MEDICAL,A,17400,5.99,0,0.31,N,2
16309,24,33996,RENT,2.0,EDUCATION,D,5000,14.96,1,0.15,Y,4
10263,25,66000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,15000,14.35,0,0.23,N,4
14064,24,81000,RENT,2.0,DEBTCONSOLIDATION,C,14000,14.17,0,0.17,N,4
17978,30,210000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,24000,11.49,0,0.11,N,6
16874,24,74400,RENT,1.0,MEDICAL,A,3500,7.29,0,0.05,N,3
14563,22,110000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,28000,7.49,0,0.25,N,4
30229,37,46000,RENT,4.0,EDUCATION,B,6000,11.49,0,0.13,N,13
24278,32,53500,RENT,1.0,PERSONAL,C,4200,13.98,0,0.08,Y,10
7778,26,36120,RENT,0.0,PERSONAL,C,7000,14.22,0,0.19,N,4
31047,47,64200,RENT,1.0,EDUCATION,B,10000,,0,0.16,N,14
12207,22,30000,RENT,4.0,EDUCATION,B,12000,10.62,1,0.4,N,3
3658,22,26000,RENT,2.0,MEDICAL,A,3900,7.51,0,0.15,N,3
29912,37,95000,RENT,3.0,MEDICAL,A,10000,7.88,0,0.11,N,13
22868,28,59000,MORTGAGE,2.0,VENTURE,B,14000,10.36,0,0.24,N,5
4058,26,70000,RENT,4.0,VENTURE,C,4000,13.06,0,0.06,Y,4
25024,29,80000,MORTGAGE,13.0,EDUCATION,A,10000,7.9,0,0.13,N,9
10984,25,70224,MORTGAGE,1.0,EDUCATION,C,21000,13.22,0,0.3,N,4
30201,36,49000,OWN,,PERSONAL,D,4200,16.02,0,0.09,Y,13
16811,23,54000,RENT,1.0,VENTURE,B,20000,11.83,1,0.37,N,2
7483,22,53000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4000,10.39,0,0.08,N,2
14670,21,110400,OWN,0.0,PERSONAL,A,12000,,0,0.11,N,3
14420,25,106000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,6.54,0,0.11,N,2
20407,28,54000,RENT,0.0,EDUCATION,C,4500,,1,0.08,Y,8
30630,36,60000,MORTGAGE,12.0,EDUCATION,A,15000,7.88,0,0.25,N,17
13345,23,123000,RENT,4.0,DEBTCONSOLIDATION,C,2800,13.49,0,0.02,Y,3
14028,22,100000,MORTGAGE,6.0,EDUCATION,B,14350,9.99,0,0.14,N,2
4813,22,34992,RENT,1.0,PERSONAL,B,5000,,0,0.14,N,3
26755,30,37600,RENT,2.0,MEDICAL,C,15000,13.06,1,0.4,Y,7
28546,28,92000,MORTGAGE,12.0,VENTURE,F,24500,18.3,0,0.27,N,7
7550,22,54000,MORTGAGE,6.0,MEDICAL,A,5000,6.03,0,0.09,N,2
27147,28,24840,RENT,2.0,EDUCATION,A,1500,8.0,1,0.06,N,5
14176,21,78000,RENT,1.0,EDUCATION,B,14275,9.91,0,0.18,N,4
25188,27,42000,RENT,2.0,PERSONAL,B,12000,10.65,0,0.29,N,7
6510,23,39000,RENT,7.0,MEDICAL,D,6000,14.09,1,0.15,Y,3
21319,31,30000,RENT,0.0,HOMEIMPROVEMENT,D,5500,15.21,1,0.18,Y,7
13607,23,64000,RENT,6.0,EDUCATION,C,12800,14.35,0,0.2,Y,4
16079,23,26000,RENT,1.0,EDUCATION,B,4000,,0,0.15,N,4
4265,24,40000,MORTGAGE,5.0,VENTURE,A,8000,,0,0.2,N,4
8285,25,39000,RENT,9.0,MEDICAL,D,7500,15.62,1,0.19,Y,2
2108,23,30720,RENT,2.0,PERSONAL,C,2400,13.98,1,0.08,Y,4
13333,26,50000,RENT,1.0,MEDICAL,C,2800,13.61,0,0.06,Y,3
16283,25,80000,MORTGAGE,5.0,PERSONAL,A,18000,5.79,0,0.23,N,3
1040,23,80000,RENT,5.0,VENTURE,A,18000,8.49,0,0.23,N,3
31783,43,141000,MORTGAGE,24.0,MEDICAL,B,6000,10.99,0,0.04,N,14
13233,25,90000,MORTGAGE,9.0,MEDICAL,A,6000,6.99,0,0.07,N,3
301,25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,1,0.15,Y,3
6142,22,22880,RENT,5.0,DEBTCONSOLIDATION,C,6000,13.57,0,0.26,Y,4
32553,54,20000,RENT,2.0,MEDICAL,C,5000,,0,0.25,N,28
21433,31,26988,RENT,,VENTURE,A,5800,6.62,0,0.21,N,9
622,25,51996,RENT,9.0,VENTURE,B,20000,10.99,1,0.38,N,3
24666,30,68580,RENT,3.0,VENTURE,A,10000,7.88,0,0.15,N,10
7004,21,51000,MORTGAGE,5.0,EDUCATION,B,13000,,0,0.25,N,3
29844,39,40000,OWN,4.0,HOMEIMPROVEMENT,A,15000,5.42,0,0.38,N,13
28687,32,35000,MORTGAGE,11.0,DEBTCONSOLIDATION,C,4000,13.61,0,0.11,N,6
26895,34,36129,RENT,3.0,DEBTCONSOLIDATION,C,1800,14.22,0,0.05,Y,9
25273,30,60000,RENT,0.0,PERSONAL,B,12000,11.71,0,0.2,N,9
12446,23,45000,RENT,4.0,EDUCATION,B,12000,12.69,0,0.27,N,4
7737,23,33000,RENT,1.0,DEBTCONSOLIDATION,C,7000,13.61,0,0.21,N,4
24010,27,35000,RENT,11.0,VENTURE,A,10000,8.49,0,0.29,N,6
8403,22,57600,MORTGAGE,2.0,DEBTCONSOLIDATION,C,4000,,0,0.07,Y,2
2129,22,30000,MORTGAGE,4.0,EDUCATION,B,5000,11.89,1,0.17,N,4
18266,34,45600,RENT,,PERSONAL,B,23500,11.36,1,0.52,N,9
12346,25,39996,OWN,2.0,VENTURE,A,12000,8.94,0,0.3,N,3
24430,27,72000,MORTGAGE,11.0,EDUCATION,B,12500,11.89,0,0.17,N,8
24348,27,72000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,15000,5.42,0,0.21,N,5
5907,22,47004,RENT,2.0,VENTURE,A,5550,7.49,0,0.12,N,4
16579,23,60000,RENT,8.0,VENTURE,B,3600,9.99,0,0.06,N,3
20550,30,41000,MORTGAGE,14.0,HOMEIMPROVEMENT,B,18000,9.01,0,0.44,N,7
15756,22,104000,RENT,3.0,MEDICAL,C,15900,13.49,0,0.15,N,2
17066,21,45432,MORTGAGE,4.0,VENTURE,B,5000,9.88,0,0.11,N,4
22623,30,56030,MORTGAGE,14.0,PERSONAL,B,13000,11.89,0,0.23,N,7
2101,25,28000,RENT,8.0,EDUCATION,B,2400,11.49,0,0.09,N,3
9131,23,60000,MORTGAGE,7.0,VENTURE,B,2450,11.48,0,0.04,N,2
27000,27,120000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,18000,10.74,0,0.15,N,6
22627,35,35300,RENT,0.0,EDUCATION,C,7500,12.29,0,0.21,Y,7
17095,21,45000,RENT,3.0,PERSONAL,B,10000,10.25,0,0.22,N,2
802,24,22000,MORTGAGE,8.0,PERSONAL,A,8000,5.42,0,0.36,N,4
30217,36,49901,MORTGAGE,13.0,HOMEIMPROVEMENT,C,8400,13.61,0,0.17,Y,12
27978,30,72000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,9600,14.17,0,0.13,N,9
29651,40,35000,MORTGAGE,6.0,VENTURE,B,5600,10.65,0,0.16,N,13
7885,25,45000,RENT,9.0,EDUCATION,B,7000,10.99,0,0.16,N,2
31490,48,62000,RENT,10.0,EDUCATION,B,14000,12.69,0,0.23,N,12
31681,39,25000,OWN,16.0,PERSONAL,A,8000,7.51,0,0.32,N,14
4727,24,29120,RENT,0.0,EDUCATION,B,5000,10.99,0,0.17,N,4
19239,29,30288,RENT,13.0,PERSONAL,C,13000,14.35,1,0.43,N,8
16619,22,30000,RENT,,PERSONAL,D,6400,15.99,1,0.21,N,4
8826,26,54000,MORTGAGE,8.0,MEDICAL,D,5000,15.62,1,0.09,Y,4
22561,33,55920,MORTGAGE,9.0,EDUCATION,A,22000,7.88,0,0.39,N,6
1920,25,58020,RENT,9.0,PERSONAL,A,2000,6.91,0,0.03,N,4
24282,30,50650,RENT,5.0,PERSONAL,B,4200,9.91,1,0.08,N,7
11061,26,46999,RENT,2.0,VENTURE,B,10000,10.99,0,0.21,N,3
24358,27,72000,OWN,2.0,EDUCATION,B,12000,9.99,0,0.17,N,9
22490,30,30000,RENT,7.0,DEBTCONSOLIDATION,B,7200,10.36,0,0.24,N,6
12975,22,83000,RENT,6.0,DEBTCONSOLIDATION,B,12000,11.71,0,0.14,N,4
12498,23,82000,MORTGAGE,5.0,PERSONAL,B,9600,10.0,0,0.12,N,2
28055,28,77250,RENT,1.0,HOMEIMPROVEMENT,B,10000,9.2,0,0.13,N,8
10866,22,45000,RENT,6.0,MEDICAL,B,10000,9.91,0,0.22,N,2
23498,33,57000,MORTGAGE,3.0,EDUCATION,E,10000,15.68,1,0.18,Y,8
30150,42,52800,RENT,3.0,EDUCATION,B,5600,10.99,0,0.11,N,14
7953,22,55000,OWN,,VENTURE,A,1275,6.91,0,0.02,N,3
13152,25,93000,RENT,0.0,DEBTCONSOLIDATION,D,12000,13.12,1,0.13,N,2
16541,24,20856,OWN,,PERSONAL,B,10000,10.59,0,0.48,N,3
141,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2
15998,23,118000,MORTGAGE,4.0,VENTURE,C,12000,13.11,0,0.1,N,2
7853,23,55000,MORTGAGE,8.0,EDUCATION,B,12375,9.91,0,0.23,N,3
11155,24,50000,RENT,,DEBTCONSOLIDATION,A,10000,7.29,0,0.2,N,4
15333,24,130000,MORTGAGE,8.0,PERSONAL,C,13000,13.61,0,0.1,N,4
28548,27,115000,MORTGAGE,0.0,MEDICAL,A,12000,7.29,0,0.1,N,6
23236,31,24000,RENT,0.0,DEBTCONSOLIDATION,B,5000,10.99,1,0.21,N,6
27746,30,182004,MORTGAGE,2.0,PERSONAL,A,7200,6.62,0,0.04,N,5
8080,25,55000,RENT,1.0,MEDICAL,A,7200,7.9,0,0.13,N,2
10127,23,65000,MORTGAGE,7.0,EDUCATION,B,5125,10.71,0,0.08,N,4
13668,24,95000,MORTGAGE,0.0,MEDICAL,B,12000,10.36,0,0.13,N,4
720,22,21120,MORTGAGE,3.0,DEBTCONSOLIDATION,D,1625,16.89,1,0.08,Y,3
7971,26,55000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,9800,7.88,0,0.18,N,3
11480,25,75000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.16,N,4
13081,25,90000,RENT,2.0,HOMEIMPROVEMENT,B,12000,11.48,0,0.13,N,3
11638,23,75000,MORTGAGE,7.0,VENTURE,B,17000,11.12,0,0.23,N,2
8777,23,60000,MORTGAGE,5.0,EDUCATION,A,8850,6.99,0,0.15,N,3
16618,23,57700,MORTGAGE,7.0,PERSONAL,B,3500,10.65,0,0.06,N,2
22575,35,105000,RENT,11.0,VENTURE,C,7250,,0,0.07,Y,5
9857,22,65000,MORTGAGE,0.0,PERSONAL,A,7200,8.9,0,0.11,N,2
8413,25,58650,RENT,5.0,MEDICAL,D,7500,15.37,1,0.11,N,4
9232,23,22944,RENT,7.0,EDUCATION,B,5000,11.11,0,0.22,N,3
9619,25,36000,RENT,9.0,PERSONAL,E,8400,18.64,0,0.23,Y,4
22647,29,56700,MORTGAGE,9.0,VENTURE,C,10000,,0,0.18,Y,5
28082,35,94000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,15000,9.88,0,0.16,N,9
6469,24,42000,RENT,8.0,DEBTCONSOLIDATION,C,6000,12.68,0,0.14,N,4
21242,34,46000,MORTGAGE,18.0,DEBTCONSOLIDATION,B,6700,,0,0.15,N,10
16226,23,135000,MORTGAGE,1.0,EDUCATION,D,12500,15.99,0,0.09,N,4
15087,25,12732,RENT,,HOMEIMPROVEMENT,C,1550,15.27,1,0.12,N,2
31652,41,43439,RENT,,MEDICAL,C,15000,12.73,1,0.35,N,15
19515,29,53000,RENT,6.0,DEBTCONSOLIDATION,C,12000,,0,0.23,N,8
19783,31,36000,MORTGAGE,8.0,EDUCATION,B,1600,10.59,0,0.04,N,7
9249,23,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,6000,9.45,0,0.1,N,2
11203,22,45000,RENT,6.0,HOMEIMPROVEMENT,C,10000,15.96,1,0.22,N,2
24681,28,70000,RENT,2.0,MEDICAL,C,10000,13.48,0,0.14,Y,9
32573,56,90000,MORTGAGE,0.0,PERSONAL,A,7200,6.17,0,0.08,N,19
9310,26,61000,MORTGAGE,4.0,PERSONAL,A,8000,7.49,0,0.13,N,2
10037,23,65000,MORTGAGE,7.0,VENTURE,A,14400,7.51,0,0.22,N,3
4922,21,40000,RENT,4.0,VENTURE,A,5000,5.79,0,0.13,N,2
29161,41,250000,MORTGAGE,14.0,DEBTCONSOLIDATION,C,4200,13.11,0,0.02,N,14
14272,24,103000,MORTGAGE,8.0,PERSONAL,B,8000,10.74,0,0.08,N,3
28565,28,73000,RENT,3.0,DEBTCONSOLIDATION,C,1000,,0,0.01,N,7
31369,37,35000,OWN,2.0,PERSONAL,B,13250,11.71,0,0.38,N,14
4456,24,46000,RENT,0.0,PERSONAL,A,4800,8.9,0,0.1,N,2
17722,23,45000,RENT,7.0,EDUCATION,B,6000,11.49,0,0.13,N,3
23883,29,66996,MORTGAGE,1.0,PERSONAL,A,9000,8.94,0,0.13,N,7
24672,29,75000,MORTGAGE,7.0,EDUCATION,A,6125,,0,0.08,N,8
15724,25,158000,MORTGAGE,10.0,VENTURE,C,20000,14.26,0,0.13,Y,2
9286,23,60785,MORTGAGE,7.0,DEBTCONSOLIDATION,C,10625,13.99,0,0.17,N,2
2722,23,50500,RENT,1.0,VENTURE,B,12000,11.58,0,0.24,N,4
1987,23,87000,RENT,4.0,EDUCATION,C,2100,,0,0.02,N,2
20054,28,29950,RENT,4.0,EDUCATION,C,3825,14.27,0,0.13,N,8
30575,36,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,17050,12.69,0,0.28,N,14
6173,22,48000,MORTGAGE,7.0,VENTURE,B,6500,10.62,0,0.14,N,3
11106,23,56100,MORTGAGE,3.0,MEDICAL,B,5650,10.99,1,0.09,N,3
17517,22,74000,RENT,4.0,VENTURE,A,5050,5.42,0,0.07,N,4
26652,27,33600,RENT,11.0,DEBTCONSOLIDATION,A,15000,5.79,1,0.45,N,8
32555,51,80000,RENT,3.0,HOMEIMPROVEMENT,F,18000,18.78,0,0.23,Y,20
5008,25,43000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,7.88,0,0.23,N,3
8086,24,60000,RENT,2.0,VENTURE,A,7200,8.49,0,0.12,N,2
941,22,24000,MORTGAGE,1.0,VENTURE,C,5000,14.65,1,0.21,N,4
22936,34,35000,RENT,1.0,PERSONAL,A,8000,6.17,0,0.23,N,9
15697,22,28080,RENT,5.0,VENTURE,E,15250,16.7,1,0.54,N,4
14401,23,38800,RENT,2.0,MEDICAL,A,14575,,1,0.38,N,4
16818,23,60000,RENT,7.0,DEBTCONSOLIDATION,B,25000,10.25,1,0.42,N,2
27209,29,126000,MORTGAGE,2.0,EDUCATION,B,6450,10.37,0,0.05,N,7
4670,24,42000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,12000,6.99,0,0.29,N,3
5142,22,44000,MORTGAGE,2.0,PERSONAL,A,3500,5.99,0,0.08,N,2
30626,41,60000,MORTGAGE,5.0,MEDICAL,C,3850,13.35,0,0.06,N,13
16060,22,28800,RENT,6.0,MEDICAL,B,8000,11.49,0,0.28,N,2
17562,24,30000,RENT,2.0,MEDICAL,A,3000,6.03,0,0.1,N,4
25171,28,80004,MORTGAGE,2.0,VENTURE,B,22750,11.49,0,0.28,N,6
26347,30,100000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,2000,,0,0.02,N,5
268,23,15000,OWN,7.0,MEDICAL,B,4475,,1,0.3,N,4
8044,24,43200,RENT,8.0,MEDICAL,C,7200,13.49,0,0.17,Y,4
1438,21,26784,MORTGAGE,,EDUCATION,A,2000,6.99,1,0.07,N,3
28922,31,99000,RENT,15.0,HOMEIMPROVEMENT,C,12000,14.26,0,0.12,N,10
6437,25,40000,RENT,5.0,PERSONAL,A,6000,7.88,0,0.15,N,4
29354,37,103000,RENT,3.0,DEBTCONSOLIDATION,A,18550,7.88,0,0.18,N,12
9893,22,65000,MORTGAGE,6.0,EDUCATION,A,12800,5.99,0,0.2,N,4
6982,22,50750,MORTGAGE,2.0,MEDICAL,B,10000,9.63,0,0.2,N,4
15916,22,118000,RENT,0.0,PERSONAL,D,19550,15.62,1,0.17,Y,4
32501,53,92000,MORTGAGE,7.0,PERSONAL,B,15000,11.12,0,0.16,N,22
11615,22,75000,MORTGAGE,0.0,PERSONAL,D,19800,15.57,0,0.26,Y,2
31758,38,71000,RENT,14.0,MEDICAL,B,15000,8.88,0,0.21,N,15
4477,23,40800,MORTGAGE,3.0,MEDICAL,A,10000,7.14,0,0.25,N,2
1585,23,29004,RENT,7.0,DEBTCONSOLIDATION,D,1500,14.59,1,0.05,Y,2
23185,35,60000,OWN,9.0,PERSONAL,B,24000,12.53,0,0.4,N,9
3688,22,15996,RENT,3.0,EDUCATION,C,4000,13.35,1,0.25,Y,2
12850,24,42000,RENT,0.0,MEDICAL,C,3000,12.73,0,0.07,N,4
22424,29,40000,RENT,2.0,DEBTCONSOLIDATION,D,7000,14.91,1,0.17,Y,9
14989,24,120000,OWN,8.0,PERSONAL,D,15000,15.28,0,0.13,N,3
15105,25,14400,RENT,0.0,VENTURE,C,1500,12.99,1,0.1,Y,2
2458,22,32004,MORTGAGE,6.0,EDUCATION,A,10000,7.51,0,0.31,N,2
23302,30,65000,RENT,2.0,MEDICAL,A,8000,7.51,0,0.12,N,5
6763,21,17000,RENT,,DEBTCONSOLIDATION,B,7000,10.62,1,0.41,N,2
24993,35,79500,MORTGAGE,5.0,PERSONAL,D,9600,14.61,0,0.12,Y,5
2196,26,185000,RENT,0.0,VENTURE,A,13500,5.99,0,0.07,N,3
7776,25,30000,RENT,0.0,EDUCATION,E,7000,,1,0.23,Y,2
5737,22,65000,RENT,3.0,EDUCATION,A,5300,6.62,0,0.08,N,3
5623,23,45500,OWN,5.0,EDUCATION,C,14000,14.72,0,0.31,Y,2
25049,34,80000,MORTGAGE,3.0,VENTURE,A,3600,5.99,0,0.04,N,9
19974,28,39000,RENT,2.0,EDUCATION,B,10400,10.37,0,0.27,N,10
25914,27,92000,MORTGAGE,11.0,EDUCATION,B,18000,11.48,0,0.2,N,7
28663,33,37000,MORTGAGE,2.0,MEDICAL,B,13000,10.36,0,0.35,N,9
2614,24,40000,RENT,1.0,PERSONAL,B,3000,10.74,0,0.07,N,3
5564,26,70000,RENT,3.0,EDUCATION,E,5000,17.39,0,0.07,N,2
27104,34,122400,MORTGAGE,5.0,MEDICAL,B,6800,10.65,0,0.06,N,10
28158,27,104000,RENT,8.0,HOMEIMPROVEMENT,A,12800,7.29,0,0.12,N,5
32395,51,46560,MORTGAGE,2.0,PERSONAL,A,11600,8.94,0,0.25,N,30
22999,31,40000,RENT,2.0,DEBTCONSOLIDATION,B,8000,11.89,0,0.2,N,7
12891,22,75000,RENT,6.0,VENTURE,A,12000,,0,0.16,N,3
18034,29,70000,RENT,3.0,PERSONAL,D,25000,14.83,1,0.36,N,6
14506,25,108000,MORTGAGE,9.0,MEDICAL,B,15000,10.39,0,0.14,N,4
12811,24,85000,MORTGAGE,8.0,EDUCATION,B,20000,11.11,0,0.24,N,4
22484,30,55000,OWN,2.0,EDUCATION,B,6500,10.99,0,0.12,N,9
16885,24,101000,OWN,5.0,VENTURE,B,24250,12.53,0,0.24,N,3
17198,23,60000,MORTGAGE,0.0,EDUCATION,B,10000,11.26,0,0.17,N,3
16712,22,160000,RENT,6.0,PERSONAL,A,20000,7.49,0,0.13,N,3
20884,30,67092,RENT,0.0,DEBTCONSOLIDATION,C,9000,12.87,0,0.13,N,8
28180,29,45000,OWN,0.0,MEDICAL,D,10000,17.58,0,0.22,Y,6
23349,29,62000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,5.99,0,0.16,N,8
32148,38,30000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,10000,11.22,0,0.33,Y,14
307,26,110000,RENT,3.0,PERSONAL,C,25000,,0,0.23,Y,2
30739,39,48000,RENT,3.0,MEDICAL,C,8400,12.53,0,0.17,Y,17
1718,26,45000,RENT,5.0,MEDICAL,D,1800,14.11,0,0.04,Y,2
4025,26,54000,RENT,0.0,MEDICAL,C,4000,13.47,1,0.07,N,2
4181,21,20400,RENT,2.0,PERSONAL,B,4500,10.99,0,0.22,N,2
2958,21,15300,RENT,5.0,HOMEIMPROVEMENT,B,3150,10.99,1,0.21,N,4
1335,21,24960,RENT,0.0,EDUCATION,C,1000,13.98,0,0.04,N,4
6233,22,30000,RENT,4.0,MEDICAL,B,6000,12.42,0,0.2,N,4
